Year,State Name,Dist Name,Crop,Area_ha,Yield_kg_per_ha,N_req_kg_per_ha,P_req_kg_per_ha,K_req_kg_per_ha,Temperature_C,Humidity_%,pH,Rainfall_mm
2003,Karnataka,Chitradurga,cotton,7680,160.16,4.32432,1.92192,4.32432,28,65,6,700
2004,Karnataka,Chitradurga,rice,111250,3742.83,93.57075,44.91396,82.34226,25,80,6.5,1200
2004,Karnataka,Chitradurga,maize,223340,2959.03,79.89381,35.50836,50.30351,22,70,6,800
2004,Karnataka,Chitradurga,chickpea,8410,278.24,5.00832,2.7824,5.00832,20,60,6.5,600
2004,Karnataka,Chitradurga,cotton,22290,279.05,7.53435,3.3486,7.53435,28,65,6,700
2005,Karnataka,Chitradurga,rice,141220,3426.29,85.65725,41.11548,75.37838,25,80,6.5,1200
2005,Karnataka,Chitradurga,maize,205000,2673.27,72.17829,32.07924,45.44559,22,70,6,800
2005,Karnataka,Chitradurga,chickpea,11270,349.6,6.2928,3.496,6.2928,20,60,6.5,600
2005,Karnataka,Chitradurga,cotton,21740,274.15,7.40205,3.2898,7.40205,28,65,6,700
2006,Karnataka,Chitradurga,rice,133170,3366.97,84.17425,40.40364,74.07334,25,80,6.5,1200
2006,Karnataka,Chitradurga,maize,241660,2175.99,58.75173,26.11188,36.99183,22,70,6,800
2006,Karnataka,Chitradurga,chickpea,19150,189.03,3.40254,1.8903,3.40254,20,60,6.5,600
2006,Karnataka,Chitradurga,cotton,13520,279.59,7.54893,3.35508,7.54893,28,65,6,700
2007,Karnataka,Chitradurga,rice,84800,3393.28,84.832,40.71936,74.65216,25,80,6.5,1200
2007,Karnataka,Chitradurga,maize,237300,3042.9,82.1583,36.5148,51.7293,22,70,6,800
2007,Karnataka,Chitradurga,chickpea,16050,382.55,6.8859,3.8255,6.8859,20,60,6.5,600
2007,Karnataka,Chitradurga,cotton,16820,431.63,11.65401,5.17956,11.65401,28,65,6,700
2008,Karnataka,Chitradurga,rice,138880,3349.8,83.745,40.1976,73.6956,25,80,6.5,1200
2008,Karnataka,Chitradurga,maize,240110,2169.42,58.57434,26.03304,36.88014,22,70,6,800
2008,Karnataka,Chitradurga,chickpea,13140,359.21,6.46578,3.5921,6.46578,20,60,6.5,600
2008,Karnataka,Chitradurga,cotton,12420,354.27,9.56529,4.25124,9.56529,28,65,6,700
2009,Karnataka,Chitradurga,rice,148530,3308.69,82.71725,39.70428,72.79118,25,80,6.5,1200
2009,Karnataka,Chitradurga,maize,258610,2552.76,68.92452,30.63312,43.39692,22,70,6,800
2009,Karnataka,Chitradurga,chickpea,23930,411.2,7.4016,4.112,7.4016,20,60,6.5,600
2009,Karnataka,Chitradurga,cotton,27350,267.28,7.21656,3.20736,7.21656,28,65,6,700
2010,Karnataka,Chitradurga,rice,156470,3400.08,85.002,40.80096,74.80176,25,80,6.5,1200
2010,Karnataka,Chitradurga,maize,283540,3623.9,97.8453,43.4868,61.6063,22,70,6,800
2010,Karnataka,Chitradurga,chickpea,22900,623.58,11.22444,6.2358,11.22444,20,60,6.5,600
2010,Karnataka,Chitradurga,cotton,40000,304.5,8.2215,3.654,8.2215,28,65,6,700
2011,Karnataka,Chitradurga,rice,151320,3416.34,85.4085,40.99608,75.15948,25,80,6.5,1200
2011,Karnataka,Chitradurga,maize,280880,2879.02,77.73354,34.54824,48.94334,22,70,6,800
2011,Karnataka,Chitradurga,chickpea,31240,329.39,5.92902,3.2939,5.92902,20,60,6.5,600
2011,Karnataka,Chitradurga,cotton,43760,386.88,10.44576,4.64256,10.44576,28,65,6,700
2012,Karnataka,Chitradurga,rice,120430,3283.07,82.07675,39.39684,72.22754,25,80,6.5,1200
2012,Karnataka,Chitradurga,maize,286040,2593.73,70.03071,31.12476,44.09341,22,70,6,800
2012,Karnataka,Chitradurga,chickpea,24530,470.85,8.4753,4.7085,8.4753,20,60,6.5,600
2012,Karnataka,Chitradurga,cotton,34850,285.8,7.7166,3.4296,7.7166,28,65,6,700
2013,Karnataka,Chitradurga,rice,129790,3515.91,87.89775,42.19092,77.35002,25,80,6.5,1200
2013,Karnataka,Chitradurga,maize,287500,3111.9,84.0213,37.3428,52.9023,22,70,6,800
2013,Karnataka,Chitradurga,chickpea,24840,484.7,8.7246,4.847,8.7246,20,60,6.5,600
2013,Karnataka,Chitradurga,cotton,41550,273.65,7.38855,3.2838,7.38855,28,65,6,700
2014,Karnataka,Chitradurga,rice,138710,3634.63,90.86575,43.61556,79.96186,25,80,6.5,1200
2014,Karnataka,Chitradurga,maize,273460,3091.17,83.46159,37.09404,52.54989,22,70,6,800
2014,Karnataka,Chitradurga,chickpea,34800,669.25,12.0465,6.6925,12.0465,20,60,6.5,600
2014,Karnataka,Chitradurga,cotton,49250,286.9,7.7463,3.4428,7.7463,28,65,6,700
2015,Karnataka,Chitradurga,rice,99560,3732.02,93.3005,44.78424,82.10444,25,80,6.5,1200
2015,Karnataka,Chitradurga,maize,265590,3011.48,81.30996,36.13776,51.19516,22,70,6,800
2015,Karnataka,Chitradurga,chickpea,41610,629.42,11.32956,6.2942,11.32956,20,60,6.5,600
2015,Karnataka,Chitradurga,cotton,32450,331.9,8.9613,3.9828,8.9613,28,65,6,700
2016,Karnataka,Chitradurga,rice,78720,3204.37,80.10925,38.45244,70.49614,25,80,6.5,1200
2016,Karnataka,Chitradurga,maize,292830,1678.73,45.32571,20.14476,28.53841,22,70,6,800
2016,Karnataka,Chitradurga,chickpea,6020,113.21,2.03778,1.1321,2.03778,20,60,6.5,600
2016,Karnataka,Chitradurga,cotton,17940,187.14,5.05278,2.24568,5.05278,28,65,6,700
2017,Karnataka,Chitradurga,rice,65990,3762.79,94.06975,45.15348,82.78138,25,80,6.5,1200
2017,Karnataka,Chitradurga,maize,270300,4256.05,114.91335,51.0726,72.35285,22,70,6,800
2017,Karnataka,Chitradurga,chickpea,38170,710.75,12.7935,7.1075,12.7935,20,60,6.5,600
2017,Karnataka,Chitradurga,cotton,15080,315.67,8.52309,3.78804,8.52309,28,65,6,700
1966,Karnataka,Bellary,rice,25000,1440,36,17.28,31.68,25,80,6.5,1200
1966,Karnataka,Bellary,chickpea,2000,500,9,5,9,20,60,6.5,600
1966,Karnataka,Bellary,cotton,111000,27.03,0.72981,0.32436,0.72981,28,65,6,700
1967,Karnataka,Bellary,rice,28000,1142.86,28.5715,13.71432,25.14292,25,80,6.5,1200
1967,Karnataka,Bellary,maize,4000,4000,108,48,68,22,70,6,800
1967,Karnataka,Bellary,chickpea,2000,500,9,5,9,20,60,6.5,600
1967,Karnataka,Bellary,cotton,108000,55.56,1.50012,0.66672,1.50012,28,65,6,700
1968,Karnataka,Bellary,rice,25400,1141.73,28.54325,13.70076,25.11806,25,80,6.5,1200
1968,Karnataka,Bellary,maize,6600,4242.42,114.54534,50.90904,72.12114,22,70,6,800
1968,Karnataka,Bellary,chickpea,1800,555.56,10.00008,5.5556,10.00008,20,60,6.5,600
1968,Karnataka,Bellary,cotton,119500,83.68,2.25936,1.00416,2.25936,28,65,6,700
1969,Karnataka,Bellary,rice,26300,1034.22,25.8555,12.41064,22.75284,25,80,6.5,1200
1969,Karnataka,Bellary,maize,3000,1766.67,47.70009,21.20004,30.03339,22,70,6,800
1969,Karnataka,Bellary,chickpea,600,500,9,5,9,20,60,6.5,600
1969,Karnataka,Bellary,cotton,135900,54.45,1.47015,0.6534,1.47015,28,65,6,700
1970,Karnataka,Bellary,rice,27800,2579.14,64.4785,30.94968,56.74108,25,80,6.5,1200
1970,Karnataka,Bellary,maize,1200,3333.33,89.99991,39.99996,56.66661,22,70,6,800
1970,Karnataka,Bellary,chickpea,800,500,9,5,9,20,60,6.5,600
1970,Karnataka,Bellary,cotton,146500,86.69,2.34063,1.04028,2.34063,28,65,6,700
1971,Karnataka,Bellary,rice,28800,2576.39,64.40975,30.91668,56.68058,25,80,6.5,1200
1971,Karnataka,Bellary,maize,1300,3000,81,36,51,22,70,6,800
1971,Karnataka,Bellary,chickpea,1700,352.94,6.35292,3.5294,6.35292,20,60,6.5,600
1971,Karnataka,Bellary,cotton,113200,100.71,2.71917,1.20852,2.71917,28,65,6,700
1972,Karnataka,Bellary,rice,22800,2508.77,62.71925,30.10524,55.19294,25,80,6.5,1200
1972,Karnataka,Bellary,maize,1800,2333.33,62.99991,27.99996,39.66661,22,70,6,800
1972,Karnataka,Bellary,chickpea,2000,100,1.8,1,1.8,20,60,6.5,600
1972,Karnataka,Bellary,cotton,95400,120.55,3.25485,1.4466,3.25485,28,65,6,700
1973,Karnataka,Bellary,rice,22800,2710.53,67.76325,32.52636,59.63166,25,80,6.5,1200
1973,Karnataka,Bellary,maize,1900,3842.11,103.73697,46.10532,65.31587,22,70,6,800
1973,Karnataka,Bellary,chickpea,1900,473.68,8.52624,4.7368,8.52624,20,60,6.5,600
1973,Karnataka,Bellary,cotton,95000,112.63,3.04101,1.35156,3.04101,28,65,6,700
1974,Karnataka,Bellary,rice,23800,2096.64,52.416,25.15968,46.12608,25,80,6.5,1200
1974,Karnataka,Bellary,maize,3100,2129.03,57.48381,25.54836,36.19351,22,70,6,800
1974,Karnataka,Bellary,chickpea,2000,500,9,5,9,20,60,6.5,600
1974,Karnataka,Bellary,cotton,91400,168.49,4.54923,2.02188,4.54923,28,65,6,700
1975,Karnataka,Bellary,rice,26100,2210.73,55.26825,26.52876,48.63606,25,80,6.5,1200
1975,Karnataka,Bellary,maize,9100,2758.24,74.47248,33.09888,46.89008,22,70,6,800
1975,Karnataka,Bellary,chickpea,4700,468.09,8.42562,4.6809,8.42562,20,60,6.5,600
1975,Karnataka,Bellary,cotton,90000,84.44,2.27988,1.01328,2.27988,28,65,6,700
1976,Karnataka,Bellary,rice,18900,2571.43,64.28575,30.85716,56.57146,25,80,6.5,1200
1976,Karnataka,Bellary,maize,13100,2419.85,65.33595,29.0382,41.13745,22,70,6,800
1976,Karnataka,Bellary,chickpea,5000,480,8.64,4.8,8.64,20,60,6.5,600
1976,Karnataka,Bellary,cotton,59600,154.36,4.16772,1.85232,4.16772,28,65,6,700
1977,Karnataka,Bellary,rice,23000,2300,57.5,27.6,50.6,25,80,6.5,1200
1977,Karnataka,Bellary,maize,16700,3479.04,93.93408,41.74848,59.14368,22,70,6,800
1977,Karnataka,Bellary,chickpea,9800,479.59,8.63262,4.7959,8.63262,20,60,6.5,600
1977,Karnataka,Bellary,cotton,85800,92.07,2.48589,1.10484,2.48589,28,65,6,700
1978,Karnataka,Bellary,rice,25300,2715.42,67.8855,32.58504,59.73924,25,80,6.5,1200
1978,Karnataka,Bellary,maize,15600,3102.56,83.76912,37.23072,52.74352,22,70,6,800
1978,Karnataka,Bellary,chickpea,9600,385.42,6.93756,3.8542,6.93756,20,60,6.5,600
1978,Karnataka,Bellary,cotton,80500,116.77,3.15279,1.40124,3.15279,28,65,6,700
1979,Karnataka,Bellary,rice,25300,2296.44,57.411,27.55728,50.52168,25,80,6.5,1200
1979,Karnataka,Bellary,maize,14000,2464.29,66.53583,29.57148,41.89293,22,70,6,800
1979,Karnataka,Bellary,chickpea,10500,380.95,6.8571,3.8095,6.8571,20,60,6.5,600
1979,Karnataka,Bellary,cotton,85100,150.41,4.06107,1.80492,4.06107,28,65,6,700
1980,Karnataka,Bellary,rice,29600,3300.68,82.517,39.60816,72.61496,25,80,6.5,1200
1980,Karnataka,Bellary,maize,15000,4073.33,109.97991,48.87996,69.24661,22,70,6,800
1980,Karnataka,Bellary,chickpea,8400,369.05,6.6429,3.6905,6.6429,20,60,6.5,600
1980,Karnataka,Bellary,cotton,73000,112.33,3.03291,1.34796,3.03291,28,65,6,700
1981,Karnataka,Bellary,rice,30800,3438.31,85.95775,41.25972,75.64282,25,80,6.5,1200
1981,Karnataka,Bellary,maize,15000,3440,92.88,41.28,58.48,22,70,6,800
1981,Karnataka,Bellary,chickpea,9700,412.37,7.42266,4.1237,7.42266,20,60,6.5,600
1981,Karnataka,Bellary,cotton,79400,136.02,3.67254,1.63224,3.67254,28,65,6,700
1982,Karnataka,Bellary,rice,31000,2306.45,57.66125,27.6774,50.7419,25,80,6.5,1200
1982,Karnataka,Bellary,maize,15000,3240,87.48,38.88,55.08,22,70,6,800
1982,Karnataka,Bellary,chickpea,8500,447.06,8.04708,4.4706,8.04708,20,60,6.5,600
1982,Karnataka,Bellary,cotton,71100,126.58,3.41766,1.51896,3.41766,28,65,6,700
1983,Karnataka,Bellary,rice,31300,2134.19,53.35475,25.61028,46.95218,25,80,6.5,1200
1983,Karnataka,Bellary,maize,13000,2707.69,73.10763,32.49228,46.03073,22,70,6,800
1983,Karnataka,Bellary,chickpea,10300,398.06,7.16508,3.9806,7.16508,20,60,6.5,600
1983,Karnataka,Bellary,cotton,69000,182.61,4.93047,2.19132,4.93047,28,65,6,700
1984,Karnataka,Bellary,rice,31700,2703.47,67.58675,32.44164,59.47634,25,80,6.5,1200
1984,Karnataka,Bellary,maize,9000,2922.22,78.89994,35.06664,49.67774,22,70,6,800
1984,Karnataka,Bellary,chickpea,4100,560.98,10.09764,5.6098,10.09764,20,60,6.5,600
1984,Karnataka,Bellary,cotton,118000,366.1,9.8847,4.3932,9.8847,28,65,6,700
1985,Karnataka,Bellary,rice,27000,2325.93,58.14825,27.91116,51.17046,25,80,6.5,1200
1985,Karnataka,Bellary,maize,5600,2964.29,80.03583,35.57148,50.39293,22,70,6,800
1985,Karnataka,Bellary,chickpea,3700,216.22,3.89196,2.1622,3.89196,20,60,6.5,600
1985,Karnataka,Bellary,cotton,96400,405.6,10.9512,4.8672,10.9512,28,65,6,700
1986,Karnataka,Bellary,rice,34000,2500,62.5,30,55,25,80,6.5,1200
1986,Karnataka,Bellary,maize,9000,3111.11,83.99997,37.33332,52.88887,22,70,6,800
1986,Karnataka,Bellary,chickpea,5000,400,7.2,4,7.2,20,60,6.5,600
1986,Karnataka,Bellary,cotton,62000,129.03,3.48381,1.54836,3.48381,28,65,6,700
1987,Karnataka,Bellary,rice,29000,2448.28,61.207,29.37936,53.86216,25,80,6.5,1200
1987,Karnataka,Bellary,maize,16000,3375,91.125,40.5,57.375,22,70,6,800
1987,Karnataka,Bellary,chickpea,9000,444.44,7.99992,4.4444,7.99992,20,60,6.5,600
1987,Karnataka,Bellary,cotton,74000,297.3,8.0271,3.5676,8.0271,28,65,6,700
1988,Karnataka,Bellary,rice,43100,2218.1,55.4525,26.6172,48.7982,25,80,6.5,1200
1988,Karnataka,Bellary,maize,19400,3190.72,86.14944,38.28864,54.24224,22,70,6,800
1988,Karnataka,Bellary,chickpea,4900,510.2,9.1836,5.102,9.1836,20,60,6.5,600
1988,Karnataka,Bellary,cotton,103200,246.12,6.64524,2.95344,6.64524,28,65,6,700
1989,Karnataka,Bellary,rice,37900,2337.73,58.44325,28.05276,51.43006,25,80,6.5,1200
1989,Karnataka,Bellary,maize,26600,3248.12,87.69924,38.97744,55.21804,22,70,6,800
1989,Karnataka,Bellary,chickpea,3900,435.9,7.8462,4.359,7.8462,20,60,6.5,600
1989,Karnataka,Bellary,cotton,104600,290.63,7.84701,3.48756,7.84701,28,65,6,700
1990,Karnataka,Bellary,rice,42390,2928.05,73.20125,35.1366,64.4171,25,80,6.5,1200
1990,Karnataka,Bellary,maize,21870,3002.74,81.07398,36.03288,51.04658,22,70,6,800
1990,Karnataka,Bellary,chickpea,8600,251.16,4.52088,2.5116,4.52088,20,60,6.5,600
1990,Karnataka,Bellary,cotton,102360,218.54,5.90058,2.62248,5.90058,28,65,6,700
1991,Karnataka,Bellary,rice,42100,2616.39,65.40975,31.39668,57.56058,25,80,6.5,1200
1991,Karnataka,Bellary,maize,29250,3028.72,81.77544,36.34464,51.48824,22,70,6,800
1991,Karnataka,Bellary,chickpea,5510,355.72,6.40296,3.5572,6.40296,20,60,6.5,600
1991,Karnataka,Bellary,cotton,86420,324.69,8.76663,3.89628,8.76663,28,65,6,700
1992,Karnataka,Bellary,rice,49300,2623.12,65.578,31.47744,57.70864,25,80,6.5,1200
1992,Karnataka,Bellary,maize,32230,2817.56,76.07412,33.81072,47.89852,22,70,6,800
1992,Karnataka,Bellary,chickpea,5070,412.23,7.42014,4.1223,7.42014,20,60,6.5,600
1992,Karnataka,Bellary,cotton,97810,197.22,5.32494,2.36664,5.32494,28,65,6,700
1993,Karnataka,Bellary,rice,53490,2639.18,65.9795,31.67016,58.06196,25,80,6.5,1200
1993,Karnataka,Bellary,maize,27370,3231.28,87.24456,38.77536,54.93176,22,70,6,800
1993,Karnataka,Bellary,chickpea,5040,404.76,7.28568,4.0476,7.28568,20,60,6.5,600
1993,Karnataka,Bellary,cotton,71480,244.68,6.60636,2.93616,6.60636,28,65,6,700
1994,Karnataka,Bellary,rice,58900,2449.75,61.24375,29.397,53.8945,25,80,6.5,1200
1994,Karnataka,Bellary,maize,39930,3005.01,81.13527,36.06012,51.08517,22,70,6,800
1994,Karnataka,Bellary,chickpea,9460,427.06,7.68708,4.2706,7.68708,20,60,6.5,600
1994,Karnataka,Bellary,cotton,79790,205.79,5.55633,2.46948,5.55633,28,65,6,700
1995,Karnataka,Bellary,rice,54960,2881.73,72.04325,34.58076,63.39806,25,80,6.5,1200
1995,Karnataka,Bellary,maize,43960,3598.95,97.17165,43.1874,61.18215,22,70,6,800
1995,Karnataka,Bellary,chickpea,6020,405.32,7.29576,4.0532,7.29576,20,60,6.5,600
1995,Karnataka,Bellary,cotton,82240,195.53,5.27931,2.34636,5.27931,28,65,6,700
1996,Karnataka,Bellary,rice,55910,3017.35,75.43375,36.2082,66.3817,25,80,6.5,1200
1996,Karnataka,Bellary,maize,56870,3407.42,92.00034,40.88904,57.92614,22,70,6,800
1996,Karnataka,Bellary,chickpea,11570,478.82,8.61876,4.7882,8.61876,20,60,6.5,600
1996,Karnataka,Bellary,cotton,73740,242.2,6.5394,2.9064,6.5394,28,65,6,700
1997,Karnataka,Bellary,rice,57690,2813.31,70.33275,33.75972,61.89282,25,80,6.5,1200
1997,Karnataka,Bellary,maize,74310,2952.63,79.72101,35.43156,50.19471,22,70,6,800
1997,Karnataka,Bellary,chickpea,8730,384.88,6.92784,3.8488,6.92784,20,60,6.5,600
1997,Karnataka,Bellary,cotton,46390,232.59,6.27993,2.79108,6.27993,28,65,6,700
1998,Karnataka,Bellary,rice,68850,3263.47,81.58675,39.16164,71.79634,25,80,6.5,1200
1998,Karnataka,Bellary,maize,32090,3111.87,84.02049,37.34244,52.90179,22,70,6,800
1998,Karnataka,Bellary,chickpea,9330,650.59,11.71062,6.5059,11.71062,20,60,6.5,600
1998,Karnataka,Bellary,cotton,66410,219.39,5.92353,2.63268,5.92353,28,65,6,700
1999,Karnataka,Bellary,rice,79350,3236.29,80.90725,38.83548,71.19838,25,80,6.5,1200
1999,Karnataka,Bellary,maize,45130,3202.08,86.45616,38.42496,54.43536,22,70,6,800
1999,Karnataka,Bellary,chickpea,5790,588.95,10.6011,5.8895,10.6011,20,60,6.5,600
1999,Karnataka,Bellary,cotton,55560,170.99,4.61673,2.05188,4.61673,28,65,6,700
2000,Karnataka,Bellary,rice,84100,3258.03,81.45075,39.09636,71.67666,25,80,6.5,1200
2000,Karnataka,Bellary,maize,53300,3076.92,83.07684,36.92304,52.30764,22,70,6,800
2000,Karnataka,Bellary,chickpea,9000,1000,18,10,18,20,60,6.5,600
2000,Karnataka,Bellary,cotton,52000,225.58,6.09066,2.70696,6.09066,28,65,6,700
2001,Karnataka,Bellary,rice,83810,3032.1,75.8025,36.3852,66.7062,25,80,6.5,1200
2001,Karnataka,Bellary,maize,44850,3219.4,86.9238,38.6328,54.7298,22,70,6,800
2001,Karnataka,Bellary,chickpea,22320,783.15,14.0967,7.8315,14.0967,20,60,6.5,600
2001,Karnataka,Bellary,cotton,51510,229.08,6.18516,2.74896,6.18516,28,65,6,700
2002,Karnataka,Bellary,rice,71300,3270.41,81.76025,39.24492,71.94902,25,80,6.5,1200
2002,Karnataka,Bellary,maize,59880,2280.06,61.56162,27.36072,38.76102,22,70,6,800
2002,Karnataka,Bellary,chickpea,20810,614.13,11.05434,6.1413,11.05434,20,60,6.5,600
2002,Karnataka,Bellary,cotton,35190,188.12,5.07924,2.25744,5.07924,28,65,6,700
2003,Karnataka,Bellary,rice,55970,3892.98,97.3245,46.71576,85.64556,25,80,6.5,1200
2003,Karnataka,Bellary,maize,61050,2726.13,73.60551,32.71356,46.34421,22,70,6,800
2003,Karnataka,Bellary,chickpea,19010,479.22,8.62596,4.7922,8.62596,20,60,6.5,600
2003,Karnataka,Bellary,cotton,26090,142.2,3.8394,1.7064,3.8394,28,65,6,700
2004,Karnataka,Bellary,rice,66810,3704.98,92.6245,44.45976,81.50956,25,80,6.5,1200
2004,Karnataka,Bellary,maize,53780,2996.47,80.90469,35.95764,50.93999,22,70,6,800
2004,Karnataka,Bellary,chickpea,10510,423.41,7.62138,4.2341,7.62138,20,60,6.5,600
2004,Karnataka,Bellary,cotton,42370,195.66,5.28282,2.34792,5.28282,28,65,6,700
2005,Karnataka,Bellary,rice,102810,3203.87,80.09675,38.44644,70.48514,25,80,6.5,1200
2005,Karnataka,Bellary,maize,71600,3259.08,87.99516,39.10896,55.40436,22,70,6,800
2005,Karnataka,Bellary,chickpea,15560,719.79,12.95622,7.1979,12.95622,20,60,6.5,600
2005,Karnataka,Bellary,cotton,26690,224.43,6.05961,2.69316,6.05961,28,65,6,700
2006,Karnataka,Bellary,rice,105920,3286.16,82.154,39.43392,72.29552,25,80,6.5,1200
2006,Karnataka,Bellary,maize,81240,2286.8,61.7436,27.4416,38.8756,22,70,6,800
2006,Karnataka,Bellary,chickpea,37540,474.16,8.53488,4.7416,8.53488,20,60,6.5,600
2006,Karnataka,Bellary,cotton,19170,256.65,6.92955,3.0798,6.92955,28,65,6,700
2007,Karnataka,Bellary,rice,117850,3535.26,88.3815,42.42312,77.77572,25,80,6.5,1200
2007,Karnataka,Bellary,maize,96190,2844.79,76.80933,34.13748,48.36143,22,70,6,800
2007,Karnataka,Bellary,chickpea,33880,555.79,10.00422,5.5579,10.00422,20,60,6.5,600
2007,Karnataka,Bellary,cotton,26600,310.15,8.37405,3.7218,8.37405,28,65,6,700
2008,Karnataka,Bellary,rice,122720,3600.64,90.016,43.20768,79.21408,25,80,6.5,1200
2008,Karnataka,Bellary,maize,87460,2684.43,72.47961,32.21316,45.63531,22,70,6,800
2008,Karnataka,Bellary,chickpea,38580,662.52,11.92536,6.6252,11.92536,20,60,6.5,600
2008,Karnataka,Bellary,cotton,19630,314.82,8.50014,3.77784,8.50014,28,65,6,700
2009,Karnataka,Bellary,rice,120410,3163.52,79.088,37.96224,69.59744,25,80,6.5,1200
2009,Karnataka,Bellary,maize,100520,1971.15,53.22105,23.6538,33.50955,22,70,6,800
2009,Karnataka,Bellary,chickpea,45710,555.68,10.00224,5.5568,10.00224,20,60,6.5,600
2009,Karnataka,Bellary,cotton,25270,316.19,8.53713,3.79428,8.53713,28,65,6,700
2010,Karnataka,Bellary,rice,130680,3542.85,88.57125,42.5142,77.9427,25,80,6.5,1200
2010,Karnataka,Bellary,maize,93490,3276.29,88.45983,39.31548,55.69693,22,70,6,800
2010,Karnataka,Bellary,chickpea,69430,591.82,10.65276,5.9182,10.65276,20,60,6.5,600
2010,Karnataka,Bellary,cotton,44890,465.81,12.57687,5.58972,12.57687,28,65,6,700
2011,Karnataka,Bellary,rice,116170,3534.73,88.36825,42.41676,77.76406,25,80,6.5,1200
2011,Karnataka,Bellary,maize,103650,2660.01,71.82027,31.92012,45.22017,22,70,6,800
2011,Karnataka,Bellary,chickpea,60230,515.86,9.28548,5.1586,9.28548,20,60,6.5,600
2011,Karnataka,Bellary,cotton,42370,372.91,10.06857,4.47492,10.06857,28,65,6,700
2012,Karnataka,Bellary,rice,109150,3552.73,88.81825,42.63276,78.16006,25,80,6.5,1200
2012,Karnataka,Bellary,maize,109120,2332.02,62.96454,27.98424,39.64434,22,70,6,800
2012,Karnataka,Bellary,chickpea,60890,749.88,13.49784,7.4988,13.49784,20,60,6.5,600
2012,Karnataka,Bellary,cotton,65500,484.43,13.07961,5.81316,13.07961,28,65,6,700
2013,Karnataka,Bellary,rice,110550,3786.7,94.6675,45.4404,83.3074,25,80,6.5,1200
2013,Karnataka,Bellary,maize,84630,2766.51,74.69577,33.19812,47.03067,22,70,6,800
2013,Karnataka,Bellary,chickpea,53820,858.79,15.45822,8.5879,15.45822,20,60,6.5,600
2013,Karnataka,Bellary,cotton,74300,462.58,12.48966,5.55096,12.48966,28,65,6,700
2014,Karnataka,Bellary,rice,118640,3440.07,86.00175,41.28084,75.68154,25,80,6.5,1200
2014,Karnataka,Bellary,maize,99850,2616.73,70.65171,31.40076,44.48441,22,70,6,800
2014,Karnataka,Bellary,chickpea,67270,510.48,9.18864,5.1048,9.18864,20,60,6.5,600
2014,Karnataka,Bellary,cotton,82340,543.11,14.66397,6.51732,14.66397,28,65,6,700
2015,Karnataka,Bellary,rice,93670,3645.14,91.1285,43.74168,80.19308,25,80,6.5,1200
2015,Karnataka,Bellary,maize,99740,2640.16,71.28432,31.68192,44.88272,22,70,6,800
2015,Karnataka,Bellary,chickpea,75360,645.97,11.62746,6.4597,11.62746,20,60,6.5,600
2015,Karnataka,Bellary,cotton,68050,389.57,10.51839,4.67484,10.51839,28,65,6,700
2016,Karnataka,Bellary,rice,87010,3882.34,97.0585,46.58808,85.41148,25,80,6.5,1200
2016,Karnataka,Bellary,maize,95100,2634.99,71.14473,31.61988,44.79483,22,70,6,800
2016,Karnataka,Bellary,chickpea,9470,278.37,5.01066,2.7837,5.01066,20,60,6.5,600
2016,Karnataka,Bellary,cotton,48060,500.65,13.51755,6.0078,13.51755,28,65,6,700
2017,Karnataka,Bellary,rice,101930,3809.74,95.2435,45.71688,83.81428,25,80,6.5,1200
2017,Karnataka,Bellary,maize,97820,3849.42,103.93434,46.19304,65.44014,22,70,6,800
2017,Karnataka,Bellary,chickpea,26860,989.91,17.81838,9.8991,17.81838,20,60,6.5,600
2017,Karnataka,Bellary,cotton,59160,605.22,16.34094,7.26264,16.34094,28,65,6,700
1966,Karnataka,Dharwad,rice,104000,1259.62,31.4905,15.11544,27.71164,25,80,6.5,1200
1966,Karnataka,Dharwad,chickpea,16000,250,4.5,2.5,4.5,20,60,6.5,600
1966,Karnataka,Dharwad,cotton,238000,46.22,1.24794,0.55464,1.24794,28,65,6,700
1967,Karnataka,Dharwad,rice,101000,1859.41,46.48525,22.31292,40.90702,25,80,6.5,1200
1967,Karnataka,Dharwad,chickpea,14000,214.29,3.85722,2.1429,3.85722,20,60,6.5,600
1967,Karnataka,Dharwad,cotton,238000,50.42,1.36134,0.60504,1.36134,28,65,6,700
1968,Karnataka,Dharwad,rice,96900,856.55,21.41375,10.2786,18.8441,25,80,6.5,1200
1968,Karnataka,Dharwad,chickpea,13900,359.71,6.47478,3.5971,6.47478,20,60,6.5,600
1968,Karnataka,Dharwad,cotton,232700,64.46,1.74042,0.77352,1.74042,28,65,6,700
1969,Karnataka,Dharwad,rice,94400,1680.08,42.002,20.16096,36.96176,25,80,6.5,1200
1969,Karnataka,Dharwad,chickpea,11600,301.72,5.43096,3.0172,5.43096,20,60,6.5,600
1969,Karnataka,Dharwad,cotton,236300,77.87,2.10249,0.93444,2.10249,28,65,6,700
1970,Karnataka,Dharwad,rice,97500,1303.59,32.58975,15.64308,28.67898,25,80,6.5,1200
1970,Karnataka,Dharwad,maize,200,3500,94.5,42,59.5,22,70,6,800
1970,Karnataka,Dharwad,chickpea,13800,391.3,7.0434,3.913,7.0434,20,60,6.5,600
1970,Karnataka,Dharwad,cotton,252600,64.53,1.74231,0.77436,1.74231,28,65,6,700
1971,Karnataka,Dharwad,rice,96500,773.06,19.3265,9.27672,17.00732,25,80,6.5,1200
